Date Created,Tweet
2022-12-15 23:49:18+00:00,"@BANKBRI_ID invest saham dgn emiten bbri  sempat di harga  4460 selama 5 bulan arb.. pas aku CL, 2 hari kemudian reeborn ke 4590..ah sekarang sudah mendekati 5000an...jk aku diamkan .."
2022-12-15 12:26:27+00:00,@Saham_fess bbri bnga lahh
2022-12-15 05:00:43+00:00,"@tradingforlyf Masukin di bbca, bbri nya yg banyakğŸ˜"
2022-12-15 04:09:20+00:00,"Kode Keras Dividen BMRI, BBRI, BBNI, BBTN Makin Tebal Periode 2023
https://t.co/zd4ftAA31Z"
2022-12-14 23:30:34+00:00,"Pemegang saham emiten BUMN perbankan BMRI, BBRI, BBNI, BBTN dalam jangka panjang berpeluang menikmati kenaikan setoran dividen untuk periode 2023. https://t.co/y5Nhf6EVR7"
2022-12-14 15:00:55+00:00,"Konsisten Tingkatkan Kualitas Layanan Perbankan, BRI Pertama Raih ISO/IEC/IEEE 29119:2022 di Indonesia https://t.co/CElAhyBnRG #BBRI #BRI #IT #TransformasiDigital"
2022-12-14 14:46:35+00:00,"@worksfess Beli saham aja kak, saham contohh :  BBCA BBRI yang pasti pasti aja, sambil nabung lagi, bisa kebeli keduanya dalam 2 tahun kedepan kalo modal shaam segitumah lumayan"
2022-12-14 14:33:40+00:00,$BBRI kalau dilihat BBRI menarik kalau ngejebol diharga 5000 https://t.co/2smAdzNQsa
2022-12-14 14:17:29+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) telah berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. keren gak tuh. 
#KinerjaBRIQ3"
2022-12-14 11:38:47+00:00,PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) terus melejit dengan menunjukkan kinerja kinclong pada kuartal I-2022. #KinerjaBRIQ3
2022-12-14 11:28:38+00:00,"yuppps tentunya saham BBRI di bursa pada tahun ini juga diwarnai oleh berbagai aksi korporasi
#KinerjaBRIQ3"
2022-12-14 11:28:00+00:00,"tau juga gak kalao BBRI mencatat rekor all time high di akhir perdagangan 26 april 2022?

#KinerjaBRIQ3"
2022-12-14 11:26:25+00:00,"sejak dulu gue mimpi untuk berperan menjadi salah satu pemegang saham di BRI hehe soalnya BBRI mempunyai basis investor yg kuat dan terus tumbuh
#KinerjaBRIQ3"
2022-12-14 10:38:00+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) dinobatkan sebagai The Best Bank Service Excellence 2022Â 

#KinerjaBRIQ3"
2022-12-14 09:19:01+00:00,"Cuan selalu $BBRI ğŸ’ªğŸ’ªğŸ’ªğŸ”¥ğŸ”¥ğŸ”¥

@ajaib_investasi https://t.co/M315Ji2Mbf"
2022-12-14 07:12:28+00:00,5.000 nya BBRI ternyata jadi resisten. Hehehehe. https://t.co/JRLB2rvp7Q https://t.co/DIUEkehFhL
2022-12-14 04:49:15+00:00,#kafein review chart #BBRI #BBNI #EMTK utk teknikal review. https://t.co/lwls1hwGX3
2022-12-14 04:40:00+00:00,#BBRI - POLA ASCENDING TRIANGLE PADA BBRI - TradingView - https://t.co/9fEkkbawWu
2022-12-14 03:13:41+00:00,Ketinggalan $bbri 5000 hihhhh kzl
2022-12-14 02:32:17+00:00,@Saham_fess BBRI jelas
2022-12-14 02:05:05+00:00,"$BBRI Update
Â» Dibuka gap up dan test area resisten 5000/5025 https://t.co/eD2ih1vD5K"
2022-12-14 00:58:02+00:00,"Analis memprediksi IHSG hari ini dapat menguat dengan rekomendasi saham AKRA, UNVR, BBNI, SMGR, ASII, BBRI, JSMR, TLKM, dan ASRI. https://t.co/8k8ygQkNKI"
2022-12-13 20:51:36+00:00,"Ihsg mantul dari ma400 dan masih berlanjut naik di hari ke 2 ditarik goto tlkm asii bbri walau asing masih keluar dari ihsg. Level 6888 6957 7000 7050  menjadi resistance terdekat sekarang rupiah menguat dari usd 
Eido menguat 1% di USA https://t.co/8dkRB6l4CA"
2022-12-13 11:28:27+00:00,"Berkat keberhasilan tersebut, BBRI sempat menyabet beberapa penghargaan di Digital Technology (DIGITECH) Awards 2022. #TransformasiBRI"
2022-12-13 11:26:26+00:00,"Di kuartal I-2022, laba konsolidasi BBRI mencapai Rp 12,22 triliun atau tumbuh sebesar 78,13% year on year #TransformasiBRI"
2022-12-13 11:25:19+00:00,Pengembangan teknologi digital PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) tercatat menuai keberhasilan.  #TransformasiBRI
2022-12-13 09:05:35+00:00,"Wow... Komitmen BRI ini benar-benar keren, Gais. Let's check it . 
PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) berkomitmen mengintegrasikan aspek Lingkungan, Sosial, dan Tata Kelola atau ESG dalam kegiatan bisnis dan operasional perusahaan. #TransformasiBRI"
2022-12-13 08:43:35+00:00,"$BBRI Sumbringah ğŸ’ªğŸ’ªğŸ’ªğŸ”¥ğŸ”¥ğŸ”¥
@ajaib_investasi https://t.co/k9eo8SJOHU"
2022-12-13 06:35:26+00:00,"$BBRI Update
Â» OTW 5000an
Â» Rebound dari area EMA 20
Â» Zigzag RSI HH+HL di atas 50 https://t.co/8Pn620dSRg"
2022-12-13 06:31:21+00:00,"@BonekNetijen @aniercm @fadliiramadann @benaya_mgs @thoriqmm kalo gua bilang fundamental crypto dan saham sama, gua pasti ada kalimat ""fundamental bbri dan goto sama aja kayak BTC ya, gaada bedanya, paling ada perbedaan di bbri karena (bla..bla..bla) soalnya BTC dan bbri sama karena (bla..bla..bla)"" nah ini namanya ngebandingin"
2022-12-13 06:11:43+00:00,"@BonekNetijen @aniercm @fadliiramadann @benaya_mgs @thoriqmm lah gua ngejelasin biar bisa nangkep aja, kalo pake analisa di crypto lebih tinggi bahasanya, maka dari itu gua milih saham buat acuannya, bukan buat bandingin BBRI dan GoTo VS BTC, engga. itu cuma buat perandaian biar gampang dimengerti, gua juga main saham kok, crypto juga."
2022-12-13 03:39:35+00:00,"bbri ternyata setelah ada massive inflow yang masuk waktu akhir november. Lagi-lagi retrace. Foreign outflow massive, tapi bertahan disana. https://t.co/TQkXexNDhA"
2022-12-13 02:11:02+00:00,"$BBRI Strateginya seperti yang ada di rekomendasi
Â» BUY IF BREAK 4840
Â» CL &lt; 4710
Â» Resisten 5025 https://t.co/pnLZdgqW28"
2022-12-13 01:47:00+00:00,"@aniercm @fadliiramadann @benaya_mgs @thoriqmm cth. saham BBRI (BRI) dan GoTo (Gojek Tokopedia) mmpunyai bidangnya tersendiri kan? BBRI bergerak di bidang perbankan, sdgkan GoTo bergerak di jasa komersial. 

Nah, krn punya karakteristiknya masing2, itu yg disebut sbg fundamental atau nilai yg dimiliki. (secara kasarnya)."
2022-12-13 00:05:52+00:00,"@Saham_fess Blue chip, beli saham BBRI atau AMRT harganya lg di bawah"
2022-12-12 21:10:03+00:00,"Jelang Pertemuan The Fed, Simak Rekomendasi Saham BBRI, BBNI, INCO, SMRA, dan INDF https://t.co/lcSPttiKd1"
2022-12-12 13:23:19+00:00,"Dorong Ekspor Nasional, BRI Wujudkan Kerja Sama dengan Indonesia Eximbank https://t.co/JGaPqNUC1i #BBRI #BRI #ekspor #export"
2022-12-12 10:26:23+00:00,@Saham_fess bbri adro soalnya gue punya dua di antara itu
2022-12-12 09:43:38+00:00,"$BBRI Ciamik ğŸ’ªğŸ’ªğŸ’ªğŸ”¥ğŸ”¥ğŸ”¥

@ajaib_investasi https://t.co/JAcQxNZ9uc"
2022-12-12 09:40:58+00:00,"@ajaib_investasi $BBCA, $INCO, $BBRI donk pastinya."
2022-12-12 09:36:24+00:00,"StockPick 13 Desember 2022
(https://t.co/dTuOE139xh)
(https://t.co/oZNjQjTDNp)

ADRO Â» BUY IF BREAK 3820 Â» CL BELOW 3630 Â» RES 3930
BBRI Â» BUY IF BREAK 4840 Â» CL BELOW 4690 Â» RES 5025
PWON Â» BUY IF BREAK 478 Â» CL BELOW 462 Â» RES 530

Note:
RES Â» RESISTENâ€¦ https://t.co/pL2VJoomKU"
2022-12-12 09:32:42+00:00,#youtube REKOMENDASI SAHAM HARIAN 13 DESEMBER 2022 || ADRO BBRI PWON || CUAN COMMUNITY https://t.co/djzimJ5zl8
2022-12-12 09:04:58+00:00,$BBRI Â» BUY IF BREAK 484 Â» CL BELOW 4690 Â» RES 5025 https://t.co/PScKG0yagb
2022-12-12 08:31:43+00:00,Indo Premier memberi pilihan saham untuk trading dari BBRI hingga INDF https://t.co/lnhCEMbCeS
2022-12-12 08:31:43+00:00,Indo Premier memberi pilihan saham untuk trading dari BBRI hingga INDF https://t.co/lnhCELUzcS
2022-12-12 08:04:25+00:00,"$BBRI
Â» Breakout 4840.
Â» BUY https://t.co/ixXIaHKdhN"
2022-12-12 07:46:33+00:00,@Saham_fess BBRI
2022-12-12 06:48:24+00:00,"$BBRI
Â» Masih cenderung bullish
Â» Area EMA 20 masih jadi support
Â» Signal rebound sekaligus signal beli jika naik ke atas 4840
Â» CL &lt; 4710, Resisten di area 5025 https://t.co/xF2QdlWDE5"
2022-12-12 05:44:53+00:00,"Survei BI: Inflasi Berpotensi Melambat pada Januari 2023.

Watchlist : BBRI, BBNI, BBTN, BNGA, MPPA, LPPF, MAPI, UNVR, RALS, ACES, ERAA, ASII, IMAS, GOTO, BUKA, BELI.

Source :  https://t.co/2mPHsBAWpT"
2022-12-12 04:34:59+00:00,"Saham-saham Ini Cocok untukÂ Trading Sepekan ke Depan, Diantaranya BBRI dan INCO https://t.co/izGwICOzPo"
2022-12-12 02:21:01+00:00,"@zettamangifera Aku ga tertarik GOTO, Mad. Sekarang main aman aja. Cukup BBCA &amp; BBRI. Pengin bisa beli ITMG, tapi mbuh kapan ğŸ˜„"
2022-12-12 01:33:09+00:00,"IHSG Hari Ini Sulit Bangkit, Cek Saham BBRI, ICBP, hingga AKRA https://t.co/eDyz41cMOt"
2022-12-12 00:55:21+00:00,"BBRI - Buy on Weakness 
Buy on Weakness: 4,640-4,730
Target Price: 4,890, 5,050
Stoploss: below 4,490

Disclaimer On

#MNCSekuritas #rekomendasisaham #BBRI #beritaemiten"
2022-12-11 03:38:25+00:00,@Saham_fess salaman dulu bbri ptba
2022-12-11 01:25:36+00:00,"bbca,bbni,bbri,bmri,sido https://t.co/EZ3eDIEhNU"
2022-12-10 16:36:14+00:00,"Total aset yang dimiliki BBRI secara konsolidasi naik dari Rp 1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp 1.684,6 triliun hingga akhir September 2022.
#KinerjaBRIQ3"
2022-12-10 16:36:03+00:00,"Kinerja PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) hingga kuartal III 2022 moncer.
#KinerjaBRIQ3"
2022-12-10 15:52:30+00:00,@Saham_fess Bbri full senyum
2022-12-10 14:43:34+00:00,"Bank Rakyat Indonesia (Persero) TbkÂ (BBRI) mampu mencatatkan laba bersih Rp 39,31 triliun pada kuartal III-2022, dan tumbuh 106,4%Â year on yearÂ (YoY). Pencapaian ini disebut berkat transformasi berkelanjutan yang diterapkan melalui cetak biru BRIvolution 2.0.

#KinerjaBRIQ3"
2022-12-10 12:09:19+00:00,Mendorong RHB Sekuritas Indonesia untuk mempertahankan rekomendasi beli saham BBRI. Begitu juga dengan proyeksi laba bersih direvisi naik oleh perusahaan sekuritas tersebut. #KinerjaBRIQ3
2022-12-10 12:07:51+00:00,"Laba Bersih Melesat, Target Laba dan Harga Saham BRI (BBRI) Direvisi Naik #KinerjaBRIQ3"
2022-12-10 12:03:40+00:00,PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) dijadwalkan mengungkap kinerja keuangan kuartal III/2022 #KinerjaBRIQ3
2022-12-10 09:47:01+00:00,"Perlu kita ketahui, pada tanggal 1 Maret 2022 melalui Rapat Umum Pemegang Saham Tahunan (RUPST), BRI telah mendapatkan persetujuan pemegang saham untuk melaksanakan buyback saham BBRI.

#KinerjaBRIQ3"
2022-12-10 09:43:09+00:00,"Pada tahun ini, saham BBRI menandai milestone penting dengan mencatatkan rekor all time high yang terjadi pada akhir perdagangan 26 April 2022. 

#KinerjaBRIQ3"
2022-12-10 09:40:42+00:00,"Sebagai salah satu saham blue chip, BBRI memiliki basis investor yang kuat dan terus tumbuh.

#KinerjaBRIQ3"
2022-12-10 08:03:16+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) berhasil menjafa fundamental kinerja keungan yang positif, dengan tetap fokus pada core business di segmen UMKM, kualitas asset yang terjaga dengan prudent, serta likuiditas yang memadai. #KinerjaBRIQ3"
2022-12-10 05:23:37+00:00,"Perbankan positif!

Top Pick 
BBNI, TP Rp11.600
BBRI, TP Rp5.800
BJBR, TP Rp1.800"
2022-12-10 00:09:09+00:00,"#kafein beberapa ssham terutama market leader naiknya sudah kebanyakan, wajar saja tergerus aksi profit diantaranya : #bbca #bbri #bmri jadi wajar, hanya #asii yg berlebihan sdgkan #tlkm tergerus sentimen negatif.

Indofood yg diamw malah melesat dlm senyap."
2022-12-09 14:21:30+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) dan entitas anak berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp39,31 triliun sampai dengan 30 September 2022. #TransformasiBRI"
2022-12-09 11:56:08+00:00,"Laporan Keuangan BBRI (Bank BRI) 2022 Lengkap, Kuartal 1-3 https://t.co/XwzhwiOJz4"
2022-12-09 09:07:30+00:00,"Selaras dengan visi Pemerintah tersebut, PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) pun turut ambil bagian dalam mendukung ketahanan iklim melalui penyerapan emisi karbon.
#TransformasiBRI"
2022-12-09 06:58:55+00:00,"Komposisi kepemilikan saham di $BRIS pasca rights issue:
1. $BMRI 52,2%
2. $BBNI 23,87%
3. $BBRI 15,79%
Per Sep'22 CAR $BRIS ada di level 17,19%, menurun dari 22,75% YoY.
#bebipinter #bank #BI #Jumat #rightissue #BLACKPINK"
2022-12-09 06:54:54+00:00,"$BBNI memiliki 24,85% saham $BRIS akan menyerap sebagian saham baru yang diterbitkan sebanyak 500 juta saham, sedangkan $BBRI yang memiliki 17,25% saham $BRIS aksinya tidak disebutkan dalam prospektus rights issue.
#rightissue #BankSyariahIndonesia #bebipinter"
2022-12-09 06:36:00+00:00,"Bahkan hingga akhir September 2022 ini saja, total aset yang dimiliki BBRI secara konsolidasi naik menjadi Rp1.684,6 triliun. Kalau labanya terus terusan meningkat kira-kita asetnya bakal jadi sebanyak apa yaa #KinerjaBRIQ3"
2022-12-09 04:46:49+00:00,Transformasi berkelanjutan yang konsisten diterapkan PT BBRI (Persero) #Tbk menjd pendorong utama kinerja positif perseroan pd kuartal III-2022.Hal ini tdk lepas dr cetak biru BRIvolution 2.0 yg diterapkan sjk awal pandemi. #TransformasiBRI127 #BRIROMakassar #BRIKCTamalanrea
2022-12-09 04:00:01+00:00,#BBRI - BBRI testing support - TradingView - https://t.co/xudONLGwIc
2022-12-09 02:10:28+00:00,"$BBRI
Â» ARea EMA 20 masih jadi support
Â» Tiga garis EMA masih rapi
Â» Strateginya,
BUY IF BREAK 4840 - CL &lt; 4710 - Resisen 5025 https://t.co/hYs8WtpPMp"
2022-12-08 12:33:31+00:00,"PT Bank Rakyat Indonesia Tbk (BBRI) terus melanjutkan program ""BRI Menanam"" sebagai wujud peduli lingkungan serta pengembangan dan pemberdayaan masyarakat, khususnya pelaku UMKM.
#TransformasiBRI"
2022-12-08 09:30:48+00:00,"StockPick 09 Desember 2022
(https://t.co/dTuOE139xh)
(https://t.co/oZNjQjTDNp)

BBRI Â» BUY IF BREAK 4840 Â» CL BELOW 4690 Â» RES 5025
BIPI Â» BUY IF BREAK 186 Â» CL BELOW 169 Â» RES 234   
BIRD Â» BUY IF BREAK 1550 Â» CL BELOW 1500 Â» RES 1670
PNIN Â» BUY IF BREAâ€¦ https://t.co/WVAAA2fD0A"
2022-12-08 09:07:07+00:00,#youtube REKOMENDASI SAHAM HARIAN 09 DESEMBER 2022 ||BBRI BIPI BIRD PNIN PWON TOWR || CUAN COMMUNITY https://t.co/JNoezCX56N
2022-12-08 08:30:48+00:00,$BBRI Â» BUY IF BREAK 4840 Â» CL BELOW 4690 Â» RES 5025 https://t.co/lir8rcVO3h
2022-12-08 08:05:17+00:00,$BBRI Â» Buy @4840 https://t.co/f1vLXPjJAB
2022-12-08 08:05:04+00:00,$BBRI Â» But @4840 https://t.co/UjmZBCVWqE
2022-12-08 06:57:19+00:00,"PT Bank Rakyat Indonesia Tbk (BBRI) terus melanjutkan program ""BRI Menanam"" sebagai wujud peduli lingkungan serta pengembangan dan pemberdayaan masyarakat, khususnya pelaku UMKM #TransformasiBRI"
2022-12-08 06:44:08+00:00,"$BBRI Â» saham yg ditunggu-tunggu koreksinya.
Boleh beli.... https://t.co/3Wrt0AwGY0"
2022-12-08 05:06:58+00:00,"Akses UMKM ke Perbankan Baru 20%, Ternyata Ini Alasannya!

Watchlist : BBRI, BMRI, BBTN, BBKP, BBCA, MEGA, ARTO, BTPN, BJBR, BJTM, AGRO

Source : https://t.co/YeELdt2GIu"
2022-12-08 02:59:40+00:00,$BBRI terbukti koreksi per 10.00 WIB 08/12/22 tercatat diharga 4.720 kemungkinan berlanjut hingga di harga 4.500-4.680 dan terparah hingga 4.360 perlembar https://t.co/2zh49qyHeF https://t.co/ldMKuagjev
2022-12-08 02:19:00+00:00,"$BBRI Update
Â» Test area EMA 20
Â» Tiga garis EMA masih rapi
Â» RSI masih di atas 50

Bagi yang lagi incer BBRI, dipantau ya. Sementara candlenya masih LH+LL https://t.co/9PXxEKdivB"
2022-12-07 16:59:11+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) mengapresiasi langkah Otoritas Jasa Keuangan (OJK) 
#KinerjaBRIQ3"
2022-12-07 16:06:21+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3

Gimana menurut kalian? keren kan?"
2022-12-07 15:43:40+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. #KinerjaBRIQ3 

Wah, keren sekali loh... yuk kita bahas lagi"
2022-12-07 15:29:55+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) membukukan laba bersih Rp39,31 triliun pada tahun ini (sampai 30 september 2022) #KinerjaBRIQ3"
2022-12-07 15:04:56+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba
bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan
30 September 2022. #KinerjaBRIQ3"
2022-12-07 14:52:57+00:00,"Ternyata, PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) telah berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Ini tuh keren banget #KinerjaBRIQ3"
2022-12-07 14:41:50+00:00,"Ini dia PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren! #KinerjaBRIQ3"
2022-12-07 14:26:10+00:00,"FYI niiih.. PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:24:16+00:00,"Bank BRI sangat keren , PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:08:57+00:00,"Tau ngga kalian, kalau PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren yaa âœ¨

#KinerjaBRIQ3"
2022-12-07 14:06:20+00:00,"2

PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:03:44+00:00,"Total aset per September 2022 berasal dari liabilitas Rp 1.384,26 triliun dan ekuitas Rp 300,33 miliar. Total kas dan setara kas BBRI mencapai Rp 161,15 triliun per September 2022, menurun dari sebelumnya Rp 162,56 triliun per September 2021. #KinerjaBRIQ3"
2022-12-07 14:03:43+00:00,"Total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 14:03:41+00:00,"Mengutip laporan keuangan yang dipublikasikan, laba BBRI melesat 103,34% secara tahunan (year-on-year/yoy) dari periode yang sama tahun 2021 sebesar Rp 19,25 triliun. #KinerjaBRIQ3"
2022-12-07 14:03:41+00:00,"Emiten bank pelat merah PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow banyak banget yaaa. 
#KinerjaBRIQ3"
2022-12-07 13:54:33+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:53:33+00:00,"IHSG Masih Rawan Koreksi Besok, Cek Saham BBRI, BBNI hingga TLKM https://t.co/o2htPluLvg"
2022-12-07 13:52:34+00:00,"Yups..! PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. ğŸ‘ #KinerjaBRIQ3"
2022-12-07 13:52:13+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun menjadi Rp1.684,6 triliun. BRI menargetkan capaian laba bersih tahun 2022 setidaknya tak kurang dari Rp 40 triliun. Kita doakan saja semoga dapet mencapai ya 
#KinerjaBRIQ3"
2022-12-07 13:50:30+00:00,"Berkat kenaikan laba, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:48:50+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian. Laba BRI melesat 103,34% secara tahunan (year-on-year) dari Rp 19,25 triliun menjadi Rp 39,31 triliun. 
#KinerjaBRIQ3"
2022-12-07 13:47:52+00:00,"Karena kenaikan laba tersebut, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:23:00+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun  sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, super .ğŸ‘ #KinerjaBRIQ3"
2022-12-05 02:46:53+00:00,Bbri bulan lalu gua jual semua eh skrg nilainya tertinggi since sebelum masehi ğŸ¤ŒğŸ½ğŸ¥¹ https://t.co/NNLwt3SMBP
2022-12-04 14:28:25+00:00,"BBRI tetap andalan, sempat masuk MTEL tp sdh cabut, krn fokus dulu di BBRI, CTRA blm dulu yaaaa next trip kaliğŸ˜ğŸ˜ğŸ˜"
